"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3FFcZZq3Z3EJrhUecwcMdG","She Will","spotify:artist:55Aa2cqylxrFIXC767Z865, spotify:artist:3TVXtAsR1Inumwj472S9r4","Lil Wayne, Drake","spotify:album:1uuSC0RCJB3dSp8Mb6GflZ","Tha Carter IV (Deluxe)","spotify:artist:55Aa2cqylxrFIXC767Z865","Lil Wayne","2011-01-01","https://i.scdn.co/image/ab67616d0000b273a1edbe4e3f3e3fe296816af4","1","6","305840","","true","0","USCM51100309","spotify:user:1257158050","2017-08-18T18:31:34Z"
"spotify:track:0zO8ctW0UiuOefR87OeJOZ","Collard Greens","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","ScHoolboy Q, Kendrick Lamar","spotify:album:7Et3bSTLLqdABO1qCxUplS","Oxymoron (Deluxe)","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","2014-01-01","https://i.scdn.co/image/ab67616d0000b27336977e237a8f70ec6c990636","1","3","299960","https://p.scdn.co/mp3-preview/75801922716dcfd4c1397d8207304932a9ea5817?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","USUM71307354","spotify:user:1257158050","2017-09-01T21:30:09Z"
"spotify:track:7tGlzXJv6GD5e5qlu5YmDg","Love Me","spotify:artist:55Aa2cqylxrFIXC767Z865, spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","Lil Wayne, Drake, Future","spotify:album:4rhNBjL39LW5tuZgRShtnx","I Am Not A Human Being II (Deluxe)","spotify:artist:55Aa2cqylxrFIXC767Z865","Lil Wayne","2013-01-01","https://i.scdn.co/image/ab67616d0000b273e1a81870181de556d515d4cc","1","11","253440","","true","5","USCM51300136","spotify:user:1257158050","2017-08-18T18:32:01Z"
"spotify:track:3IvVQ1qmekCQ4LRwGCyIJA","PMW (All I Really Need) (feat. ScHoolboy Q)","spotify:artist:13ubrt8QOOCPljQ2FL1Kca, spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","A$AP Rocky, ScHoolboy Q","spotify:album:1E1eyI5uGllppJZCxNoF9w","LONG.LIVE.A$AP (Deluxe Version)","spotify:artist:13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky","2013-01-11","https://i.scdn.co/image/ab67616d0000b2733265ed162fa2dd5ec6434ee4","1","3","234773","","true","0","USRC11201445","spotify:user:1257158050","2017-09-18T14:16:29Z"
"spotify:track:4XoP1AkbOurU9CeZ2rMEz2","F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","spotify:artist:13ubrt8QOOCPljQ2FL1Kca, spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:17lzZA2AlOHwCwFALHttmp, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","A$AP Rocky, Drake, 2 Chainz, Kendrick Lamar","spotify:album:1E1eyI5uGllppJZCxNoF9w","LONG.LIVE.A$AP (Deluxe Version)","spotify:artist:13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky","2013-01-11","https://i.scdn.co/image/ab67616d0000b2733265ed162fa2dd5ec6434ee4","1","7","233786","","true","0","USRC11201220","spotify:user:1257158050","2017-09-18T14:16:09Z"
"spotify:track:2SIdGJTWirTxRNEyCp9ocI","Vice City (feat. Black Hippy)","spotify:artist:28ExwzUQsvgJooOI0X1mr3, spotify:artist:7a9KRWdaSZktpGGnWndzbC","Jay Rock, Black Hippy","spotify:album:1fsvlnonD95p6VTEdQ7zJn","90059","spotify:artist:28ExwzUQsvgJooOI0X1mr3","Jay Rock","2015-09-11","https://i.scdn.co/image/ab67616d0000b273793a0d50c1af74449ddfba7a","1","8","283751","https://p.scdn.co/mp3-preview/46e910db8255368c41f1aacc35cf6596bd9985fe?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","TCACH1591450","spotify:user:1257158050","2018-07-29T18:59:03Z"
"spotify:track:71Wf5qK9wdtjOfMgujlN6A","Make It Nasty","spotify:artist:5LHRHt1k9lMyONurDHEdrp","Tyga","spotify:album:68XdlVpTEpBtM2FBxROLva","Careless World: Rise Of The Last King","spotify:artist:5LHRHt1k9lMyONurDHEdrp","Tyga","2012-01-01","https://i.scdn.co/image/ab67616d0000b27334c2901e50b3b91ffd8287b5","1","23","188866","https://p.scdn.co/mp3-preview/3198386d2131a72153e33cc5ce4635c537ccb6a6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","USCM51200053","spotify:user:1257158050","2019-09-25T01:22:25Z"
"spotify:track:4scpF6J5uMBvoh6sFB7EL1","No Type","spotify:artist:7iZtZyCzp3LItcw1wtPI3D","Rae Sremmurd","spotify:album:6eDx949ONWDCN0O22wFZf7","SremmLife","spotify:artist:7iZtZyCzp3LItcw1wtPI3D","Rae Sremmurd","2015-01-06","https://i.scdn.co/image/ab67616d0000b2734ca3fb4517ff722918877460","1","10","200080","https://p.scdn.co/mp3-preview/ba1fb4e912d65c5c489cab74b11df5702da6ad55?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","USUM71413477","spotify:user:1257158050","2017-08-18T18:44:47Z"
"spotify:track:67qn3OtziLlpOtVZ22EiQ4","Smoke A Nigga (feat. Wiz Khalifa)","spotify:artist:5gCRApTajqwbnHHPbr2Fpi, spotify:artist:137W8MRPWKqSmrBGDBFSop","Juicy J, Wiz Khalifa","spotify:album:7h1ut6IUbndKY7QrqcbAND","Stay Trippy","spotify:artist:5gCRApTajqwbnHHPbr2Fpi","Juicy J","2013-08-23","https://i.scdn.co/image/ab67616d0000b273396bcd4043a871d830c848a3","1","8","257826","https://p.scdn.co/mp3-preview/da82ffa20d08b9f85147352b75dd7f6f81d4ccb2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","USSM11303978","spotify:user:1257158050","2020-06-15T03:12:08Z"
"spotify:track:4IeUAegXVbETb7FpgNDnSM","I Luv This Shit","spotify:artist:19Fi1Rj7kk8kyiwxpXy3yM, spotify:artist:0I5HubncQ8E1MFZOlPDY4J","August Alsina, Trinidad James","spotify:album:4buyJv1fGVn1QU6ZR6YroB","Downtown: Life Under The Gun","spotify:artist:19Fi1Rj7kk8kyiwxpXy3yM","August Alsina","2013-01-01","https://i.scdn.co/image/ab67616d0000b2734336e6394b094dc3b965097d","1","4","267920","https://p.scdn.co/mp3-preview/5c91597b7fb6c54faf71118459860f9239816e51?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","USUM71301027","spotify:user:1257158050","2019-04-02T19:58:54Z"
