"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5FVd6KXrgO9B3JPmC8OPst","Do I Wanna Know?","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:78bpIziExqiI9qztvNFlQu","AM","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2013-09-09","https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163","1","1","272394","https://p.scdn.co/mp3-preview/006bc465fe3d1c04dae93a050eca9d402a7322b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","GBCEL1300362","spotify:user:olivia.28","2019-04-10T04:46:07Z"
"spotify:track:0GO8y8jQk1PkHzS31d699N","Tongue Tied","spotify:artist:3kVUvbeRdcrqQ3oHk5hPdx","GROUPLOVE","spotify:album:3oylWMc9TTC6Nx4I6U3axc","Never Trust a Happy Song","spotify:artist:3kVUvbeRdcrqQ3oHk5hPdx","GROUPLOVE","2011-09-02","https://i.scdn.co/image/ab67616d0000b273d84a9bbcba91cb6a4a212b1b","1","2","218013","https://p.scdn.co/mp3-preview/6082516f3c05520cc2cf8cecd17e4ce8667c459e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USAT21101334","spotify:user:olivia.28","2019-01-09T17:00:17Z"
"spotify:track:06cCziAHtDg6pcsidZHu03","Robbers","spotify:artist:3mIj9lX2MWuHmhNCA7LSCW","The 1975","spotify:album:0mkOUedmYlOzCC4tOm2v0c","The 1975 (Deluxe Version)","spotify:artist:3mIj9lX2MWuHmhNCA7LSCW","The 1975","2013","https://i.scdn.co/image/ab67616d0000b273ebcc3ef64dbef8acb47e2960","1","10","254509","https://p.scdn.co/mp3-preview/d349bfe2c41870938cf0e0dec62cae07eee77bff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","GBK3W1000199","spotify:user:olivia.28","2021-01-21T04:14:03Z"
"spotify:track:7cNz65PfCatRXoX7QtqM2A","National Anthem","spotify:artist:00FQb4jTyendYWaN8pK0wa","Lana Del Rey","spotify:album:5VoeRuTrGhTbKelUfwymwu","Born To Die - The Paradise Edition","spotify:artist:00FQb4jTyendYWaN8pK0wa","Lana Del Rey","2012-01-01","https://i.scdn.co/image/ab67616d0000b273ebc8cfac8b586bc475b04918","1","6","230520","https://p.scdn.co/mp3-preview/b8a27abab358e3d5e64c6e036215ff6ea6c24f0e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","GBUM71111567","spotify:user:olivia.28","2019-09-12T01:23:18Z"
"spotify:track:1UqhkbzB1kuFwt2iy4h29Q","Cough Syrup","spotify:artist:4j56EQDQu5XnL7R3E9iFJT","Young the Giant","spotify:album:2ww7MYrkExsljnKhcINDse","Young The Giant (Special Edition)","spotify:artist:4j56EQDQu5XnL7R3E9iFJT","Young the Giant","2011","https://i.scdn.co/image/ab67616d0000b27351729fae66d02122c4951153","1","4","249520","https://p.scdn.co/mp3-preview/d7218e4269b429d546b8af4a333a4bbef4cc89ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","NLA321090389","spotify:user:olivia.28","2019-01-09T17:00:23Z"
"spotify:track:4Sfa7hdVkqlM8UW5LsSY3F","Take a Walk","spotify:artist:7gjAu1qr5C2grXeQFFOGeh","Passion Pit","spotify:album:14JU5SskmcyckE5I8PY6lv","Gossamer","spotify:artist:7gjAu1qr5C2grXeQFFOGeh","Passion Pit","2012-07-23","https://i.scdn.co/image/ab67616d0000b273f860547bc8ba0c59df4fe2c3","1","1","264493","https://p.scdn.co/mp3-preview/6831003a390515c2c983c484f50eadb218993e46?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USSM11202617","spotify:user:olivia.28","2019-01-09T17:00:26Z"
"spotify:track:3FtYbEfBqAlGO46NUDQSAt","Electric Feel","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:6mm1Skz3JE6AXneya9Nyiv","Oracular Spectacular","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2007-12-14","https://i.scdn.co/image/ab67616d0000b2738b32b139981e79f2ebe005eb","1","4","229640","https://p.scdn.co/mp3-preview/b288d1b3245bfa82243267c77fe152dbd696f3c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USSM10702131","spotify:user:olivia.28","2019-01-09T17:00:30Z"
"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","Sweater Weather","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","spotify:album:4xkM0BwLM9H2IUcbYzpcBI","I Love You.","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","2013-04-19","https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921","1","4","240400","https://p.scdn.co/mp3-preview/877602f424a9dea277b13301ffc516f9fd1fbe7e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","91","USSM11300080","spotify:user:olivia.28","2019-01-09T17:00:40Z"
"spotify:track:0bXpmJyHHYPk6QBFj25bYF","Intro","spotify:artist:3iOvXCl6edW5Um0fXEBRXy","The xx","spotify:album:2nXJkqkS1tIKIyhBcFMmwz","xx","spotify:artist:3iOvXCl6edW5Um0fXEBRXy","The xx","2009-08-16","https://i.scdn.co/image/ab67616d0000b273055437bf35e8ba027bed0882","1","1","127920","","false","1","GBBKS0900196","spotify:user:olivia.28","2019-01-30T21:09:34Z"
"spotify:track:7w87IxuO7BDcJ3YUqCyMTT","Pumped Up Kicks","spotify:artist:7gP3bB2nilZXLfPHJhMdvc","Foster The People","spotify:album:7Kmmw7Z5D2UD5MVwdm10sT","Torches","spotify:artist:7gP3bB2nilZXLfPHJhMdvc","Foster The People","2011-05-23","https://i.scdn.co/image/ab67616d0000b273121d5f92cf90576907dfb1e5","1","2","239600","https://p.scdn.co/mp3-preview/2213bf4173a9b50a807a30121ed6b559a7778209?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USSM11002931","spotify:user:olivia.28","2019-01-09T17:01:03Z"
"spotify:track:1aGvLFHJ2shKqO9uycaUcW","Something Good Can Work","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:0gyRFAfY08NFv7N8RTFg9M","Tourist History","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-02-07","https://i.scdn.co/image/ab67616d0000b273cba7eaf46111c54eaf2faeb9","1","6","164186","","false","0","FRU700900101","spotify:user:olivia.28","2019-01-09T17:01:25Z"
"spotify:track:5JtPGzRgrWxkXX9LoROq3d","1901","spotify:artist:1xU878Z1QtBldR7ru9owdU","Phoenix","spotify:album:6YXmQrXOjJoMheJ2IA5NqK","Wolfgang Amadeus Phoenix","spotify:artist:1xU878Z1QtBldR7ru9owdU","Phoenix","2009-01-01","https://i.scdn.co/image/ab67616d0000b2732734934f36a17722c5faa058","1","2","193106","","false","0","FR31Q0900002","spotify:user:olivia.28","2019-01-09T17:01:36Z"
"spotify:track:1eyzqe2QqGZUmfcPZtrIyt","Midnight City","spotify:artist:63MQldklfxkjYDoUE4Tppz","M83","spotify:album:6R0ynY7RF20ofs9GJR5TXR","Hurry Up, We're Dreaming","spotify:artist:63MQldklfxkjYDoUE4Tppz","M83","2011","https://i.scdn.co/image/ab67616d0000b273fff2cb485c36a6d8f639bdba","1","2","241440","https://p.scdn.co/mp3-preview/5aa3429867af2283925c942e7051342a464460b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","GB55H1100002","spotify:user:olivia.28","2019-01-09T17:05:19Z"
"spotify:track:3e0yTP5trHBBVvV32jwXqF","Anna Sun","spotify:artist:6DIS6PRrLS3wbnZsf7vYic","WALK THE MOON","spotify:album:1QhonXpNQq8wrGEKX0ofbk","Walk The Moon","spotify:artist:6DIS6PRrLS3wbnZsf7vYic","WALK THE MOON","2012-06-19","https://i.scdn.co/image/ab67616d0000b2737f768e99c363b6ee0995556e","1","4","321280","https://p.scdn.co/mp3-preview/89721449430314e2e1abb6f432c7ec414096deef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USRC11200002","spotify:user:olivia.28","2019-01-09T17:11:52Z"
